PERSON_ID,WAM,,ENG4701_ID,ENG4701_MARK,,ENG4701_WAM,ENG4701_DEPT,,ENG4702_ID,ENG4702_MARK,ENG4702_WAM,ENG4702_DEPT
29688590,77.6,,29717213,76,D,69.452,CL_CIV,,29544726,74,64.315,MA_MEC
28747208,77.552,,30635624,78,D,66.641,CL_CIV,,29389704,73,63.638,MA_MEC
28799216,77.547,,29681235,74,D,69.865,CL_CIV,,29610125,77,77.017,MA_MEC
29662214,77.447,,30568269,82,HD,75.848,CL_CIV,,28327322,77,60.544,MA_MEC
28847504,77.421,,30631661,81,HD,75.676,CL_CIV,,25873105,68,61.459,MA_MEC
28761030,77.219,,29693969,78,D,85.95,CL_CIV,,30219469,77,79.431,MA_MEC
29718562,77.094,,29697867,81,HD,75.63,CL_CIV,,29491452,0,57.818,MA_MEC
30584736,77.043,,29697271,81,HD,78.915,CL_CIV,,30199891,77,77.397,MA_MEC
29737435,77.029,,30712688,82,HD,74.049,CL_CIV,,30755344,74,69.51,MA_MEC
29723817,76.966,,27591972,57,P,63.077,CL_CIV,,29810914,75,71.259,MA_MEC
29741564,76.933,,29681103,83,HD,80.265,CL_CIV,,29655048,0,64.34,MA_MEC
29705614,76.885,,28761588,83,HD,63.657,CL_CIV,,29491622,0,60.96,MA_MEC
29042356,76.868,,30551757,83,HD,83.367,CL_CIV,,29275660,80,79.93,MA_MEC
28788133,76.855,,31570968,81,HD,70.158,CL_CIV,,30236843,72,72.776,MA_MEC
29701147,76.827,,29970849,81,HD,67.839,CL_CIV,,30061636,84,79.655,MA_MEC
28753410,76.737,,29677807,81,HD,61.125,CL_CIV,,29274818,83,78.228,MA_MEC
29690722,76.712,,29729653,81,HD,72.667,CL_CIV,,29273781,77,81.474,MA_MEC
29674999,76.583,,28794117,81,HD,57.088,CL_CIV,,29145163,80,78.655,MA_MEC
29708087,76.565,,26905507,81,HD,62.17,CL_CIV,,30128161,80,77.121,MA_MEC
30568331,76.5,,29495326,82,HD,75.359,CL_CIV,,30219493,78,78.172,MA_MEC
30584159,76.469,,29495172,82,HD,74.702,CL_CIV,,30092450,67,61.571,MA_MEC
28574850,76.46,,29068606,68,C,63.8,CL_CIV,,29274486,80,74.786,MA_MEC
30508819,76.458,,29695473,80,D,75.685,CL_CIV,,30030331,68,69.414,MA_MEC
30615038,76.457,,30629179,84,HD,81.102,CL_CIV,,28134273,0,60.583,MA_MEC
29677289,76.358,,28263669,74,D,54.116,CL_CIV,,30428831,82,67.977,MA_MEC
29806240,76.333,,29797446,74,D,74.875,CL_CIV,,29428076,80,71.161,MA_MEC
28677218,76.328,,31874630,76,D,63.25,CL_CIV,,29931886,76,77.966,MA_MEC
29699967,76.317,,30589614,81,HD,72.513,CL_CIV,,30051207,78,82.621,MA_MEC
29402638,76.308,,28993357,35,N,55.278,CL_CIV,,30099412,78,76.948,MA_MEC
29664802,76.25,,29713935,33,N,65.865,CL_CIV,,28099974,0,63.91,MA_MEC
30647835,76.231,,28611853,28,N,60.66,CL_CIV,,28025504,74,68.083,MA_MEC
29723906,76.145,,30612756,71,D,72.245,CL_CIV,,30221722,70,75.793,MA_TRC
30519667,76.128,,27393348,68,C,71.053,CL_CIV,,30107105,78,81.517,MA_TRC
29657172,76.1,,29696216,74,D,72.569,CL_CIV,,29382289,70,65.679,MA_TRC
29698170,76.051,,29561280,68,C,58.755,CL_CIV,,30031990,75,81.345,MA_TRC
30615267,76,,29696542,63,C,70.191,CL_CIV,,30071739,71,75.052,MA_TRC
29718600,75.982,,29756146,36,WH,75.397,CL_CIV,,29977924,68,72.06,MA_TRC
29729378,75.87,,28431464,67,C,63.778,CL_CIV,,29274206,75,71.418,MA_TRC
29614295,75.857,,30354676,86,HD,86.25,CL_CIV,,30136121,67,66.722,MA_TRC
30568269,75.848,,29690447,80,HD,73,CL_CIV,,30157560,74,78.16,MA_TRC
29694655,75.839,,29708214,81,HD,77.962,CL_CIV,,29543215,68,77.431,MA_TRC
30519691,75.762,,26930390,81,HD,62.947,CL_CIV,,28326237,73,61.262,MA_TRC
30859999,75.75,,29901014,80,D,68.342,CL_CIV,,29274605,75,78.158,MA_TRC
29695473,75.685,,29751063,80,D,67.443,CL_CIV,,30114063,78,71.19,MA_TRC
30631661,75.676,,30636248,80,D,72.229,CL_CIV,,29274761,77,71.86,MA_TRC
27809609,75.643,,28789563,78,D,82.814,CL_CIV,,30067294,82,85.862,MA_TRC
29697867,75.63,,27793494,79,D,79.985,CL_CIV,,29274885,75,68.709,MA_TRC
27771571,75.585,,27797619,79,D,59.783,CL_CIV,,29921414,72,72.5,MA_TRC
28794354,75.565,,29724732,84,HD,71.286,CL_CIV,,29619246,71,76.5,MA_TRC
30580056,75.563,,29806224,84,HD,78.86,CL_CIV,,29981484,78,84.776,MA_TRC
29617685,75.542,,29614295,77,D,75.857,CL_CIV,,29275261,81,80.259,MA_TRC
30318491,75.475,,29204798,77,D,69.9,CL_CIV,,28902300,0,59.286,MA_TRC
28779290,75.426,,28745140,69,C,70.435,CL_CIV,,29558603,62,72.915,MA_TRC
29756146,75.397,,29683246,81,HD,68.75,CL_CIV,,30032032,82,81.121,MA_TRC
29495326,75.359,,30632404,73,D,64.795,CL_CIV,,30125944,84,90.534,MA_TRC
30058805,75.34,,30603153,79,D,72.038,CL_CIV,,29276152,77,74.138,MA_TRC
29728045,75.339,,29427193,72,D,61.563,CL_CIV,,28413229,70,60.52,MA_TRC
30630959,75.283,,27829901,76,D,61.286,CL_CIV,,30109531,76,77.828,MA_TRC
28755960,75.283,,29724910,84,HD,83.567,CL_CIV,,30222400,78,78.724,MA_TRC
29667259,75.131,,29077141,68,WH,62.92,CL_CIV,,29276454,70,74.241,MA_TRC
28574885,75.082,,30625505,72,WH,58.718,CL_CIV,,29488141,77,65.031,MA_TRC
28778634,75.015,,29676789,90,HD,89.033,CL_CIV,,29982618,77,69.283,MA_TRC
29738245,74.918,,27850129,47,WH,70.25,CL_CIV,,29038537,62,70.672,MA_TRC
30519659,74.917,,30506239,77,D,79,CL_CIV,,29737095,0,,0
30519624,74.895,,30525063,77,D,72.844,CL_CIV,,29336244,75,70,MA_CHE
29797446,74.875,,30525160,76,D,70.583,CL_CIV,,,,,
28745477,74.82,,29682452,87,HD,79.043,CL_CIV,,,,,
28801938,74.811,,29711606,84,HD,78.949,CL_CIV,,,,,
29745470,74.765,,29716985,84,HD,74.604,CL_CIV,,,,,
30599938,74.757,,30601622,84,HD,85.75,CL_CIV,,,,,
27791939,74.746,,29712300,84,HD,71.86,CL_CIV,,,,,
29965217,74.745,,30645611,82,HD,81.146,CL_CIV,,,,,
29666147,74.724,,28801938,83,HD,74.811,CL_CIV,,,,,
29474329,74.711,,29662214,83,HD,77.447,CL_CIV,,,,,
29495172,74.702,,28792726,85,HD,69.406,CL_CIV,,,,,
29732794,74.628,,30641993,81,HD,78.3,CL_CIV,,,,,
29675103,74.605,,26774771,34,N,65.308,CL_CIV,,,,,
